player_id,player_name,position,team(s),league_position,country,league,season,minutes_played,FTE_games_played,games_started,full_games_played,games_subbed_on,games_subbed_off,goals,assists,contribution_ols,contribution_ols_std,ridge_contribution_alpha_10_0,ridge_contribution_alpha_10_0_std,lasso_contribution_alpha_0_001,lasso_contribution_alpha_0_001_std,lasso_contribution_alpha_best,lasso_contribution_alpha_best_std,partialled_lasso_contribution_alpha_best,partialled_lasso_contribution_alpha_best_std,partialled_contribution_ols,partialled_contribution_ols_std,partialled_ridge_contribution_alpha_10_0,partialled_ridge_contribution_alpha_10_0_std,partialled_lasso_contribution_alpha_0_001,partialled_lasso_contribution_alpha_0_001_std,is_pooled_member,pooled_group_key,other_players_same_minutes,pooled_members,total_regular_games,valid_regular_games,missing_games_count,no_observations,is_pooled_estimate
2182,V. Tsygankov,M,Girona,10,Spain,La Liga,2022,1511.0,16.407,17,10,2,7,3,6,0.82,0.367,0.74,0.177,0.613,0.164,0.684,0.201,0.211,0.0633,0.82,0.367,0.717,0.176,0.137,0.0444,False,,,2182,380,380,0,False,False
297311,Kike Salas,D,Sevilla,11,Spain,La Liga,2022,373.0,4.107,4,2,2,2,1,1,0.816,0.361,0.439,0.225,0.243,0.164,0.324,0.201,0.0845,0.0633,0.816,0.361,0.508,0.224,0.0249,0.0444,False,,,297311,380,380,0,False,False
47209,Andrés Martín,M,Rayo Vallecano,12,Spain,La Liga,2022,207.0,2.249,3,0,6,3,0,0,0.811,0.387,0.486,0.241,0.285,0.164,0.338,0.201,0.0,0.0633,0.811,0.387,0.491,0.24,0.0,0.0444,False,,,47209,380,380,0,False,False
2717,A. Tuhami,M,Valladolid,18,Spain,La Liga,2022,221.0,2.326,3,1,0,2,1,0,0.802,0.426,0.243,0.239,0.0,0.164,0.0417,0.201,0.0,0.0633,0.802,0.426,0.356,0.238,0.0,0.0444,False,,,2717,380,380,0,False,False
184226,Yeremy Pino,M,Villarreal,5,Spain,La Liga,2022,2477.0,27.048,31,8,5,23,4,5,0.793,0.314,0.418,0.151,0.144,0.164,0.183,0.201,0.0,0.0633,0.793,0.314,0.388,0.15,0.0,0.0444,False,,,184226,380,380,0,False,False
67939,Aimar Oroz,M,Osasuna,7,Spain,La Liga,2022,2037.0,22.281,23,7,8,16,3,6,0.792,0.293,0.347,0.133,0.0778,0.164,0.131,0.201,0.0558,0.0633,0.792,0.293,0.327,0.133,0.0235,0.0444,False,,,67939,380,380,0,False,False
612,E. Ponce,F,Elche,20,Spain,La Liga,2022,1084.0,11.965,8,1,26,7,4,0,0.791,0.2,0.56,0.137,0.308,0.164,0.351,0.201,0.24,0.0633,0.791,0.2,0.546,0.137,0.215,0.0444,False,,,612,380,380,0,False,False
15900,A. Mumin,D,Rayo Vallecano,12,Spain,La Liga,2022,928.0,10.101,9,9,7,0,0,0,0.782,0.308,0.514,0.189,0.391,0.164,0.451,0.201,0.0883,0.0633,0.782,0.308,0.555,0.188,0.0158,0.0444,False,,,15900,380,380,0,False,False
741,Unknown,Unknown,Real Madrid,2,Spain,La Liga,2022,22.0,0.242,0,0,1,0,0,0,0.762,1.14,0.594,0.379,0.0,0.164,0.0,0.201,0.0,0.0633,0.762,1.14,0.568,0.377,0.0,0.0444,False,,,741,380,380,0,False,False
1583,Sergio León,F,Valladolid,18,Spain,La Liga,2022,1345.0,15.127,14,4,15,10,6,1,0.751,0.315,0.443,0.142,0.105,0.164,0.179,0.201,0.039,0.0633,0.751,0.315,0.449,0.141,0.0,0.0444,False,,,1583,380,380,0,False,False
